date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20	turnover
2016-06-01	9.08	9.2	9.07	9.03	339318.59	-0.11	-1.2	8.79	8.728	8.751	226919.74	183692.04	155785.63	1.71
2016-05-31	8.52	9.23	9.17	8.52	491146.69	0.67	7.88	8.696	8.674	8.77	187009.87	162572.75	146407.43	2.47
2016-05-30	8.5	8.57	8.49	8.42	81020.9	-0.07	-0.82	8.582	8.637	8.788	111415.27	132312.3	134434.75	0.41
2016-05-27	8.6	8.65	8.57	8.53	98112.05	-0.09	-1.04	8.638	8.653	8.825	124402.62	133699.96	136785.69	0.49
2016-05-26	8.57	8.7	8.65	8.38	125000.47	0.06	0.7	8.674	8.649	8.864	132174.92	131067.47	140634.0	0.63
2016-05-25	8.67	8.79	8.6	8.58	139769.22	0.0	0.0	8.666	8.644	8.895	140464.35	129185.84	140278.3	0.7
2016-05-24	8.77	8.77	8.6	8.52	113173.69	-0.18	-2.05	8.652	8.65	8.934	138135.64	123985.82	139538.8	0.57
2016-05-23	8.72	8.83	8.77	8.69	145957.66	0.03	0.34	8.692	8.662	8.968	153209.34	121635.86	141116.57	0.73
2016-05-20	8.5	8.77	8.75	8.44	136973.56	0.16	1.86	8.668	8.654	9.002	142997.3	124846.57	142479.8	0.69
2016-05-19	8.54	8.86	8.61	8.52	166447.61	0.08	0.94	8.624	8.687	9.034	129960.02	133523.38	145522.47	0.84
2016-05-18	8.66	8.7	8.53	8.42	128125.66	-0.28	-3.18	8.622	8.774	9.081	117907.33	127879.22	155601.26	0.64
2016-05-17	8.66	9.05	8.8	8.53	188542.2	0.16	1.85	8.648	8.865	9.162	109836.0	130242.1	157329.41	0.95
2016-05-16	8.47	8.65	8.65	8.38	94897.49	0.13	1.53	8.632	8.938	9.227	90062.38	136557.19	159701.84	0.48
2016-05-13	8.55	8.68	8.53	8.48	71787.15	-0.06	-0.7	8.64	8.997	9.315	106695.84	139871.41	168336.61	0.36
2016-05-12	8.45	8.61	8.6	8.29	106184.15	-0.05	-0.58	8.75	9.079	9.407	137086.75	150200.53	179205.77	0.53
2016-05-11	8.81	8.85	8.66	8.61	87769.0	-0.05	-0.57	8.926	9.146	9.493	137851.11	151370.76	200386.65	0.44
2016-05-10	8.65	8.77	8.72	8.65	89674.09	0.03	0.34	9.082	9.218	9.566	150648.21	155091.79	207628.44	0.45
2016-05-09	9.01	9.03	8.69	8.58	178064.8	-0.38	-4.19	9.244	9.273	9.641	183052.01	160597.28	218244.24	0.9
2016-05-06	9.48	9.57	9.08	9.01	223741.69	-0.4	-4.22	9.354	9.349	9.707	173046.98	160113.03	222251.49	1.13
2016-05-05	9.41	9.5	9.48	9.4	110005.95	0.04	0.42	9.408	9.38	9.759	163314.32	157521.56	225003.24	0.55
2016-05-04	9.46	9.54	9.44	9.4	151754.53	-0.09	-0.94	9.366	9.388	9.805	164890.42	183323.31	235110.71	0.76
2016-05-03	9.24	9.62	9.53	9.15	251693.09	0.29	3.14	9.354	9.459	9.856	159535.37	184416.72	248405.85	1.27
2016-04-29	9.2	9.29	9.24	9.17	128039.64	-0.11	-1.18	9.302	9.516	9.886	138142.55	182846.48	252566.66	0.64
2016-04-28	9.29	9.43	9.35	9.22	175078.38	0.08	0.86	9.344	9.632	9.939	147179.08	196801.81	265228.56	0.88
2016-04-27	9.38	9.42	9.27	9.23	117886.47	-0.11	-1.17	9.352	9.735	9.991	151728.81	208211.01	276127.87	0.59
2016-04-26	9.27	9.39	9.38	9.19	124979.26	0.11	1.19	9.41	9.839	10.026	201756.2	249402.54	286675.72	0.63
2016-04-25	9.43	9.43	9.27	9.16	144729.0	-0.17	-1.8	9.564	9.913	10.069	209298.06	260165.08	297722.2	0.73
2016-04-22	9.3	9.54	9.45	9.25	173222.3	0.07	0.75	9.73	10.009	10.127	227550.41	275891.21	308815.4	0.87
2016-04-21	9.49	9.64	9.39	9.35	197827.02	-0.17	-1.78	9.92	10.064	10.172	246424.54	284389.94	329378.33	1.0
2016-04-20	10.16	10.2	9.56	9.26	368023.41	-0.59	-5.81	10.118	10.138	10.24	264693.21	292484.91	351919.28	1.85
2016-04-19	10.16	10.21	10.15	10.05	162688.58	0.05	0.49	10.268	10.221	10.281	297048.88	286898.12	365751.65	0.82
2016-04-18	10.31	10.31	10.1	10.03	235990.73	-0.29	-2.79	10.262	10.253	10.313	311032.11	312394.99	408569.04	1.19
2016-04-15	10.4	10.5	10.4	10.3	267592.94	0.03	0.29	10.288	10.255	10.31	324232.0	322286.84	449934.87	1.35
2016-04-14	10.33	10.44	10.38	10.27	289170.38	0.07	0.68	10.208	10.245	10.267	322355.35	333655.32	479465.06	1.45
2016-04-13	10.24	10.57	10.31	10.17	529801.75	0.19	1.88	10.158	10.246	10.187	320276.62	344044.73	473400.85	2.67
2016-04-12	10.19	10.22	10.12	9.94	232604.73	-0.11	-1.07	10.174	10.212	10.115	276747.36	323948.9	459384.76	1.17
2016-04-11	10.19	10.39	10.23	10.12	301990.22	0.24	2.4	10.244	10.225	10.063	313757.88	335279.32	466797.53	1.52
2016-04-08	10.0	10.06	10.0	9.82	258209.67	-0.14	-1.38	10.222	10.245	9.987	320341.68	341739.6	459048.58	1.3
2016-04-07	10.45	10.48	10.13	10.11	278776.72	-0.26	-2.5	10.282	10.28	9.92	344955.29	374366.72	458206.65	1.4
2016-04-06	10.35	10.6	10.39	10.21	312155.44	-0.08	-0.76	10.334	10.341	9.859	367812.83	411353.65	460054.29	1.57
2016-04-05	10.08	10.63	10.47	10.01	417657.34	0.36	3.56	10.25	10.34	9.811	371150.44	444605.19	463042.89	2.1
2016-04-01	10.28	10.28	10.12	9.87	334909.22	-0.18	-1.75	10.206	10.373	9.766	356800.75	504743.09	466843.18	1.68
2016-03-31	10.35	10.53	10.3	10.26	381277.72	-0.09	-0.87	10.268	10.364	9.729	363137.51	577582.9	475559.29	1.92
2016-03-30	10.06	10.46	10.39	10.06	393064.44	0.42	4.21	10.278	10.288	9.703	403778.16	625274.8	476017.78	1.98
2016-03-29	10.2	10.28	9.97	9.81	328843.5	-0.27	-2.64	10.348	10.127	9.628	454894.47	602756.97	471398.74	1.65
2016-03-28	10.53	10.79	10.25	10.17	345908.88	-0.15	-1.44	10.43	10.018	9.557	518059.93	594820.62	464884.92	1.74
2016-03-25	10.26	10.45	10.43	10.16	366593.03	0.08	0.77	10.54	9.901	9.456	652685.43	598315.74	459488.22	1.84
2016-03-24	10.45	10.84	10.35	10.3	584480.94	-0.4	-3.72	10.46	9.728	9.381	792028.28	576357.57	450943.83	2.94
